C0000005	(131)i-maa	(131)i-macroaggregated albumin
C0000039	dipalmitoylphosphatidylcholine (substance)	3,5,9-trioxa-4-phosphapentacosan-1-aminium, 4-hydroxy-n,n,n-trimethyl-10-oxo-7-((1-oxohexadecyl)oxy)-, inner salt, 4-oxide
C0000039	1,2 dipalmitoylphosphatidylcholine	1,2-dipalmitoyl-glycerophosphocholine
C0000039	dipalmitoyllecithin	1,2-dihexadecyl-sn-glycerophosphocholine
C0000039	phosphatidylcholine, dipalmitoyl	dipalmitoyllecithin
C0000039	dipalmitoylglycerophosphocholine	1,2-dipalmitoyl-glycerophosphocholine
C0000039	dipalmitoylphosphatidylcholine 0102	1,2-dipalmitoyl-glycerophosphocholine
C0000039	dipalmitoylphosphatidylcholine 0102	dppc
C0000039	1,2 dipalmitoylphosphatidylcholine	dppc
C0000039	dipalmitoyllecithin	1,2-dipalmitoylphosphatidylcholine
C0000039	1,2-dipalmitoylphosphatidylcholine	1,2-dihexadecyl-sn-glycerophosphocholine
C0000039	1,2 dipalmitoylphosphatidylcholine	1,2 dihexadecyl sn glycerophosphocholine
C0000039	1,2-dipalmitoylphosphatidylcholine	dipalmitoyl phosphatidylcholine
C0000039	1,2-dipalmitoylphosphatidylcholine	1,2 dihexadecyl sn glycerophosphocholine
C0000052	glycosyltransferase, branching	1,4-alpha-d-glucan:1,4-alpha-d-glucan 6-alpha-d-(1,4-alpha-d-glucano)-transferase
C0000052	1,4-alpha-glucan branching enzyme	amylo-(1,4,6)-transglycosylase
C0000052	enzyme, 1,4-alpha-glucan branching	branching glycosyltransferase
C0000052	branching enzyme, 1,4-alpha-glucan	1,4-alpha-glucan branching enzyme (substance)
C0000052	1,4-alpha-glucan branching enzyme	enzyme, 1,4-alpha-glucan branching
C0000052	branching enzyme	amylo-(1,4->,6)-transglycosylase
C0000052	1,4-alpha glucan branching enzyme	enzyme, 1,4-alpha-glucan branching
C0000052	amylo-(1,4,6)-transglycosylase	1,4-alpha-d-glucan:1,4-alpha-d-glucan 6-alpha-d-(1,4-alpha-d-glucano)-transferase
C0000052	branching enzyme	glucan branching enzyme
C0000052	glucan branching enzyme	branching enzyme, starch
C0000052	1,4 alpha glucan branching enzyme	branching glycosyltransferase
C0000052	amylo-(1,4->,6)-transglycosylase	enzyme, starch branching
C0000052	1,4-alpha-glucan branching enzyme	1,4 alpha glucan branching enzyme
C0000052	alpha glucan branching enzyme 01 04	enzyme, branching
C0000052	amylo-(1,4,6)-transglycosylase	branching glycosyltransferase
C0000052	1,4 alpha glucan branching enzyme	enzyme, 1,4-alpha-glucan branching
C0000052	starch branching enzyme	1,4-alpha-d-glucan:1,4-alpha-d-glucan 6-alpha-d-(1,4-alpha-d-glucano)-transferase
C0000052	enzyme, branching	enzyme, 1,4-alpha-glucan branching
C0000052	amylo-(1,4->,6)-transglycosylase	glycosyltransferase, branching
C0000052	1,4-alpha-glucan branching enzyme	branching glycosyltransferase
C0000052	branching enzyme, 1,4-alpha-glucan	branching glycosyltransferase
C0000052	1,4-alpha-glucan branching enzyme	1,4-alpha glucan branching enzyme
C0000052	branching enzyme, 1,4-alpha-glucan	branching enzyme, starch
C0000052	glucan branching enzyme	1,4-alpha-glucan branching enzyme (substance)
C0000052	starch branching enzyme	enzyme, starch branching
C0000052	starch branching enzyme	1,4-alpha-glucan branching enzyme
C0000052	starch branching enzyme	1,4 alpha glucan branching enzyme
C0000052	amylo-(1,4,6)-transglycosylase	glycosyltransferase, branching
C0000052	amylo-(1,4->,6)-transglycosylase	1,4 alpha glucan branching enzyme
C0000052	1,4-alpha-d-glucan:1,4-alpha-d-glucan 6-alpha-d-(1,4-alpha-d-glucano)-transferase	branching glycosyltransferase
C0000052	branching enzyme, 1,4-alpha-glucan	glucan branching enzyme
C0000052	glycosyltransferase, branching	branching glycosyltransferase
C0000052	1,4 alpha glucan branching enzyme	enzyme, branching
C0000052	amylo-(1,4->,6)-transglycosylase	enzyme, 1,4-alpha-glucan branching
C0000052	alpha glucan branching enzyme 01 04	enzyme, starch branching
C0000052	1,4 alpha glucan branching enzyme	amylo-(1,4,6)-transglycosylase
C0000052	amylo-(1,4,6)-transglycosylase	enzyme, starch branching
C0000052	alpha glucan branching enzyme 01 04	branching glycosyltransferase
C0000052	amylo-(1,4->,6)-transglycosylase	amylo-(1,4,6)-transglycosylase
C0000052	1,4 alpha glucan branching enzyme	branching enzyme, 1,4-alpha-glucan
C0000052	1,4 alpha glucan branching enzyme	enzyme, starch branching
C0000052	amylo-(1,4->,6)-transglycosylase	1,4-alpha-d-glucan:1,4-alpha-d-glucan 6-alpha-d-(1,4-alpha-d-glucano)-transferase
C0000052	branching enzyme, 1,4-alpha-glucan	glycosyltransferase, branching
C0000052	branching enzyme	1,4-alpha glucan branching enzyme
C0000052	starch branching enzyme	amylo-(1,4,6)-transglycosylase
C0000052	1,4-alpha glucan branching enzyme	branching glycosyltransferase
C0000052	enzyme, branching	1,4-alpha-d-glucan:1,4-alpha-d-glucan 6-alpha-d-(1,4-alpha-d-glucano)-transferase
C0000052	amylo-(1,4->,6)-transglycosylase	branching enzyme, 1,4-alpha-glucan
C0000052	amylo-(1,4->,6)-transglycosylase	enzyme, branching
C0000052	amylo-(1,4,6)-transglycosylase	branching enzyme, 1,4-alpha-glucan
C0000074	1-alkyl-2-acylphosphatidates	1 alkyl 2 acylphosphatidates
C0000084	gamma carboxyglutamic acid	1 carboxyglutamic acid
C0000084	1-carboxyglutamic acid	gamma carboxyglutamic acid
C0000084	3-amino-1,1,3-propanetricarboxylic acid	1,1,3-propanetricarboxylic acid, 3-amino-
C0000084	carboxyglutamic acid 01	gamma carboxyglutamic acid
C0000084	1-carboxyglutamic acid	gamma-carboxyglutamic acid
C0000084	carboxyglutamic acid 01	1 carboxyglutamic acid
C0000084	3-amino-1,1,3-propanetricarboxylic acid	gamma carboxyglutamic acid
C0000084	carboxyglutamic acid 01	gamma-carboxyglutamic acid
C0000084	1-carboxyglutamic acid	1 carboxyglutamic acid
C0000084	3-amino-1,1,3-propanetricarboxylic acid	gamma-carboxyglutamic acid
C0000084	3-amino-1,1,3-propanetricarboxylic acid	1 carboxyglutamic acid
C0000084	gamma carboxyglutamic acid	gamma-carboxyglutamic acid
C0000084	gamma carboxyglutamic acid	1,1,3-propanetricarboxylic acid, 3-amino-
C0000084	1,1,3-propanetricarboxylic acid, 3-amino-	1 carboxyglutamic acid
C0000084	carboxyglutamic acid 01	1,1,3-propanetricarboxylic acid, 3-amino-
C0000084	1-carboxyglutamic acid	carboxyglutamic acid 01
C0000084	gamma-carboxyglutamic acid	1,1,3-propanetricarboxylic acid, 3-amino-
C0000084	3-amino-1,1,3-propanetricarboxylic acid	carboxyglutamic acid 01
C0000084	1-carboxyglutamic acid	1,1,3-propanetricarboxylic acid, 3-amino-
C0000084	gamma-carboxyglutamic acid	1 carboxyglutamic acid
C0000084	3-amino-1,1,3-propanetricarboxylic acid	1-carboxyglutamic acid
C0000096	ibmx	1-methyl-3-isobutylxanthine
C0000096	ibmx	mibx
C0000096	1 methyl 3 isobutylxanthine	ibmx
C0000096	1h-purine-2,6-dione, 3,7-dihydro-1-methyl-3-(2-methylpropyl)-	methylisobutylxanthine 01 03
C0000096	isobutyltheophylline	1-methyl-3-isobutylxanthine
C0000096	isobutyltheophylline	isobutylmethylxanthine 03 01
C0000096	isobutylmethylxanthine 03 01	mibx
C0000096	1 methyl 3 isobutylxanthine	isobutylmethylxanthine 03 01
C0000096	isobutyltheophylline	mibx
C0000096	3-isobutyl-1-methylxanthine	1-methyl-3-isobutylxanthine
C0000096	isobutyltheophylline	ibmx
C0000096	1h-purine-2,6-dione, 3,7-dihydro-1-methyl-3-(2-methylpropyl)-	isobutylmethylxanthine 03 01
C0000096	ibmx	methylisobutylxanthine 01 03
C0000096	isobutyltheophylline	methylisobutylxanthine 01 03
C0000096	1 methyl 3 isobutylxanthine	methylisobutylxanthine 01 03
C0000096	ibmx	3 isobutyl 1 methylxanthine
C0000096	3-isobutyl-1-methylxanthine	1 methyl 3 isobutylxanthine
C0000096	3 isobutyl 1 methylxanthine	isobutylmethylxanthine 03 01
C0000096	isobutylmethylxanthine 03 01	1-methyl-3-isobutylxanthine
C0000096	1 methyl 3 isobutylxanthine	mibx
C0000096	methylisobutylxanthine 01 03	mibx
C0000096	1 methyl 3 isobutylxanthine	isobutyltheophylline
C0000096	1 methyl 3 isobutylxanthine	1-methyl-3-isobutylxanthine
C0000096	ibmx	isobutylmethylxanthine 03 01
C0000096	1h-purine-2,6-dione, 3,7-dihydro-1-methyl-3-(2-methylpropyl)-	1-methyl-3-isobutylxanthine
C0000096	3 isobutyl 1 methylxanthine	1-methyl-3-isobutylxanthine
C0000096	3-isobutyl-1-methylxanthine	3 isobutyl 1 methylxanthine
C0000096	3-isobutyl-1-methylxanthine	1h-purine-2,6-dione, 3,7-dihydro-1-methyl-3-(2-methylpropyl)-
C0000096	3-isobutyl-1-methylxanthine	ibmx
C0000096	1 methyl 3 isobutylxanthine	1h-purine-2,6-dione, 3,7-dihydro-1-methyl-3-(2-methylpropyl)-
C0000096	3-isobutyl-1-methylxanthine	mibx
C0000096	3-isobutyl-1-methylxanthine	methylisobutylxanthine 01 03
C0000096	1h-purine-2,6-dione, 3,7-dihydro-1-methyl-3-(2-methylpropyl)-	3 isobutyl 1 methylxanthine
C0000096	methylisobutylxanthine 01 03	isobutylmethylxanthine 03 01
C0000096	1h-purine-2,6-dione, 3,7-dihydro-1-methyl-3-(2-methylpropyl)-	mibx
C0000096	1-methyl-3-isobutylxanthine	mibx
C0000096	1h-purine-2,6-dione, 3,7-dihydro-1-methyl-3-(2-methylpropyl)-	ibmx
C0000096	1h-purine-2,6-dione, 3,7-dihydro-1-methyl-3-(2-methylpropyl)-	isobutyltheophylline
C0000096	3-isobutyl-1-methylxanthine	isobutylmethylxanthine 03 01
C0000096	3-isobutyl-1-methylxanthine	isobutyltheophylline
C0000096	methylisobutylxanthine 01 03	3 isobutyl 1 methylxanthine
C0000096	3 isobutyl 1 methylxanthine	mibx
C0000096	methylisobutylxanthine 01 03	1-methyl-3-isobutylxanthine
C0000096	isobutyltheophylline	3 isobutyl 1 methylxanthine
C0000096	1 methyl 3 isobutylxanthine	3 isobutyl 1 methylxanthine
C0000097	1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine (mptp)	pyridine, 1,2,3,6-tetrahydro-1-methyl-4-phenyl-
C0000097	mptp	1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine
C0000097	methylphenyltetrahydropyridine	n-methyl-4-phenyl-1,2,3,6-tetrahydropyridine
C0000097	methylphenyltetrahydropyridine (substance)	methylphenyltetrahydropyridine
C0000097	methylphenyltetrahydropyridine 01 04 01 02 03 06	pyridine, 1,2,3,6-tetrahydro-1-methyl-4-phenyl-
C0000097	methylphenyltetrahydropyridine (substance)	pyridine, 1,2,3,6-tetrahydro-1-methyl-4-phenyl-
C0000097	mptp	methylphenyltetrahydropyridine (substance)
C0000097	methylphenyltetrahydropyridine 01 04 01 02 03 06	methylphenyltetrahydropyridine
C0000097	methylphenyltetrahydropyridine 01 04 01 02 03 06	methylphenyltetrahydropyridine (substance)
C0000097	1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine	methylphenyltetrahydropyridine
C0000097	1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine (mptp)	n-methyl-4-phenyl-1,2,3,6-tetrahydropyridine
C0000097	mptp	n-methyl-4-phenyl-1,2,3,6-tetrahydropyridine
C0000097	1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine (mptp)	methylphenyltetrahydropyridine (substance)
C0000097	mptp	pyridine, 1,2,3,6-tetrahydro-1-methyl-4-phenyl-
C0000097	methylphenyltetrahydropyridine (substance)	n-methyl-4-phenyl-1,2,3,6-tetrahydropyridine
C0000097	1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine (mptp)	mptp
C0000097	pyridine, 1,2,3,6-tetrahydro-1-methyl-4-phenyl-	n-methyl-4-phenyl-1,2,3,6-tetrahydropyridine
C0000097	mptp	methylphenyltetrahydropyridine
C0000097	1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine	n-methyl-4-phenyl-1,2,3,6-tetrahydropyridine
C0000097	methylphenyltetrahydropyridine 01 04 01 02 03 06	n-methyl-4-phenyl-1,2,3,6-tetrahydropyridine
C0000097	methylphenyltetrahydropyridine 01 04 01 02 03 06	1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine
C0000097	1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine (mptp)	1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine
C0000097	1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine (mptp)	methylphenyltetrahydropyridine
C0000097	1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine	pyridine, 1,2,3,6-tetrahydro-1-methyl-4-phenyl-
C0000097	methylphenyltetrahydropyridine	pyridine, 1,2,3,6-tetrahydro-1-methyl-4-phenyl-
C0000097	1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine (mptp)	methylphenyltetrahydropyridine 01 04 01 02 03 06
C0000097	methylphenyltetrahydropyridine 01 04 01 02 03 06	mptp
C0000097	1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine	methylphenyltetrahydropyridine (substance)
C0000098	n methyl 4 phenylpyridine	n methyl 4 phenylpyridinium
C0000098	1-methyl-4-phenylpyridine	1-methyl-4-phenylpyridinium
C0000098	n methyl 4 phenylpyridine	n-methyl-4-phenylpyridine
C0000098	1 methyl 4 phenylpyridine	n-methyl-4-phenylpyridinium
C0000098	1 methyl 4 phenylpyridinium ion	methylphenylpyridinium 01 04
C0000098	n methyl 4 phenylpyridine	cyperquat
C0000098	methylphenylpyridinium 01 04	1-methyl-4-phenylpyridinium
C0000098	1-methyl-4-phenylpyridine	n-methyl-4-phenylpyridine
C0000098	1-methyl-4-phenylpyridinium ion	1-methyl-4-phenylpyridinium
C0000098	1-methyl-4-phenylpyridine	pyridinium, 1-methyl-4-phenyl-
C0000098	n-methyl-4-phenylpyridinium	1-methyl-4-phenylpyridinium
C0000098	1 methyl 4 phenylpyridine	1-methyl-4-phenylpyridinium
C0000098	1-methyl-4-phenylpyridine	n methyl 4 phenylpyridine
C0000098	1 methyl 4 phenylpyridine	n-methyl-4-phenylpyridine
C0000098	mpp+	1-methyl-4-phenylpyridinium
C0000098	1 methyl 4 phenylpyridine	pyridinium, 1-methyl-4-phenyl-
C0000098	n methyl 4 phenylpyridinium	mpp+
C0000098	pyridinium, 1-methyl-4-phenyl-	cyperquat
C0000098	1-methyl-4-phenylpyridine	1 methyl 4 phenylpyridine
C0000098	1-methyl-4-phenylpyridine	n methyl 4 phenylpyridinium
C0000098	1-methyl-4-phenylpyridine	1 methyl 4 phenylpyridinium
C0000098	n-methyl-4-phenylpyridinium	mpp+
C0000098	n methyl 4 phenylpyridine	mpp+
C0000098	1-methyl-4-phenylpyridine	1-methyl-4-phenylpyridinium ion
C0000098	n methyl 4 phenylpyridine	pyridinium, 1-methyl-4-phenyl-
C0000098	1 methyl 4 phenylpyridinium	n-methyl-4-phenylpyridine
C0000098	n methyl 4 phenylpyridinium	methylphenylpyridinium 01 04
C0000098	n methyl 4 phenylpyridine	1-methyl-4-phenylpyridinium
C0000098	pyridinium, 1-methyl-4-phenyl-	1-methyl-4-phenylpyridinium ion
C0000098	n-methyl-4-phenylpyridine	1 methyl 4 phenylpyridinium ion
C0000098	n-methyl-4-phenylpyridine	n methyl 4 phenylpyridinium
C0000098	1 methyl 4 phenylpyridine	1 methyl 4 phenylpyridinium
C0000098	n-methyl-4-phenylpyridine	mpp+
C0000098	pyridinium, 1-methyl-4-phenyl-	mpp+
C0000098	mpp+	methylphenylpyridinium 01 04
C0000098	1 methyl 4 phenylpyridine	1 methyl 4 phenylpyridinium ion
C0000098	1-methyl-4-phenylpyridinium ion	n methyl 4 phenylpyridinium
C0000098	1 methyl 4 phenylpyridinium	1 methyl 4 phenylpyridinium ion
C0000098	1 methyl 4 phenylpyridine	n methyl 4 phenylpyridine
C0000098	n methyl 4 phenylpyridine	methylphenylpyridinium 01 04
C0000098	1-methyl-4-phenylpyridinium ion	cyperquat
C0000098	n-methyl-4-phenylpyridine	methylphenylpyridinium 01 04
C0000098	n-methyl-4-phenylpyridinium	cyperquat
C0000098	1-methyl-4-phenylpyridinium ion	n-methyl-4-phenylpyridine
C0000098	1 methyl 4 phenylpyridinium	1-methyl-4-phenylpyridinium
C0000098	cyperquat	methylphenylpyridinium 01 04
C0000098	1 methyl 4 phenylpyridinium	1-methyl-4-phenylpyridinium ion
C0000098	pyridinium, 1-methyl-4-phenyl-	n methyl 4 phenylpyridinium
C0000098	n-methyl-4-phenylpyridinium	1 methyl 4 phenylpyridinium ion
C0000098	1 methyl 4 phenylpyridinium	n methyl 4 phenylpyridinium
C0000102	naphthalidine	a- naphthylamine
C0000102	1 aminonaphthalene	1-aminonaphthalene
C0000102	alpha naphthylamine	a- naphthylamine
C0000102	1-naththylamine (substance)	a- naphthylamine
C0000102	naphthylamine 01	1 naphthylamine
C0000102	aminonaphthalene 01	a- naphthylamine
C0000102	1-aminonaphthalene	a- naphthylamine
C0000102	8-aminonaphthalene	alpha-naphthylamine
C0000102	1-naththylamine	1 naphthylamine
C0000102	1 aminonaphthalene	1 naphthylamine
C0000102	aminonaphthalene 01	alpha naphthylamine
C0000102	1-naphthylamine	naphthylamine 01
C0000102	1-naphthylamine	1 aminonaphthalene
C0000102	1-aminonaphthalene	alpha naphthylamine
C0000102	1-naphthylamine	a- naphthylamine
C0000102	1-naphthylamine	8 aminonaphthalene
C0000102	1-naththylamine (substance)	8 aminonaphthalene
C0000102	aminonaphthalene 01	1-aminonaphthalene
C0000102	naphthalidine	1 aminonaphthalene
C0000102	1-naphthylamine	1-naphthalenamine
C0000102	1 naphthylamine	alpha naphthylamine
C0000102	1-naphthalenamine	8 aminonaphthalene
C0000102	naphthylamine 01	a- naphthylamine
C0000102	1-naththylamine (substance)	alpha naphthylamine
C0000102	1 naphthylamine	8-aminonaphthalene
C0000102	aminonaphthalene 01	8 aminonaphthalene
C0000102	aminonaphthalene 01	1-naphthylamine
C0000102	8-aminonaphthalene	8 aminonaphthalene
C0000102	1-aminonaphthalene	1-naththylamine (substance)
C0000102	1 aminonaphthalene	8 aminonaphthalene
C0000102	1-naphthylamine	alpha naphthylamine
C0000102	naphthalidine	1-naphthalenamine
C0000102	1-naphthylamine	1-naththylamine
C0000102	1 aminonaphthalene	alpha-naphthylamine
C0000102	1 naphthylamine	a- naphthylamine
C0000102	1-naphthalenamine	alpha naphthylamine
C0000102	1-naththylamine	8-aminonaphthalene
C0000102	1 aminonaphthalene	naphthylamine 01
C0000102	1 naphthylamine	1-naththylamine (substance)
C0000102	naphthalidine	alpha naphthylamine
C0000102	1-naththylamine	1 aminonaphthalene
C0000102	alpha naphthylamine	alpha-naphthylamine
C0000102	1-naththylamine	1-aminonaphthalene
C0000102	1-naphthylamine	alpha-naphthylamine
C0000102	1-naphthalenamine	alpha-naphthylamine
C0000102	naphthalidine	1 naphthylamine
C0000102	aminonaphthalene 01	1-naththylamine
C0000102	aminonaphthalene 01	1 naphthylamine
C0000102	a- naphthylamine	8 aminonaphthalene
C0000102	1 naphthylamine	1-aminonaphthalene
C0000103	naphthalene, 1-isothiocyanato-	1 naphthylisothiocyanate
C0000103	alpha naphthylisothiocyanate	naphthylisothiocyanate 01
C0000103	1-naphthylisothiocyanate	1 naphthylisothiocyanate
C0000103	1-naphthylisothiocyanate	naphthalene, 1-isothiocyanato-
C0000103	alpha naphthylisothiocyanate	alpha-naphthylisothiocyanate
C0000103	alpha-naphthylisothiocyanate	naphthylisothiocyanate 01
C0000103	1-naphthylisothiocyanate	alpha-naphthylisothiocyanate
C0000103	alpha-naphthylisothiocyanate	1 naphthylisothiocyanate
C0000103	alpha-naphthylisothiocyanate	naphthalene, 1-isothiocyanato-
C0000103	naphthalene, 1-isothiocyanato-	naphthylisothiocyanate 01
C0000103	alpha naphthylisothiocyanate	naphthalene, 1-isothiocyanato-
C0000103	1-naphthylisothiocyanate	naphthylisothiocyanate 01
C0000103	naphthylisothiocyanate 01	1 naphthylisothiocyanate
C0000103	alpha naphthylisothiocyanate	1-naphthylisothiocyanate
C0000103	alpha naphthylisothiocyanate	1 naphthylisothiocyanate
C0000107	sar iso ang	1-sar-8-ile angiotensin ii
C0000107	1-(n-methylglycine)-8-l-isoleucine-angiotensin ii	angiotensin ii, 1-sar-8-ile
C0000107	sar ile angiotensin 02 01 08	1-sar-8-ile angiotensin ii
C0000107	1 sar 8 ile angiotensin ii	1-sarcosine-8-isoleucine angiotensin ii
C0000107	1-sar-8-ile angiotensin ii	1-sarcosine-8-isoleucine angiotensin ii
C0000107	sar iso ang	1-(n-methylglycine)-8-l-isoleucine-angiotensin ii
C0000107	sarcosineisoleucineangiotensin 02 01 08	angiotensin ii, 1-sarcosine-8-isoleucine
C0000107	1-sar-8-ile angiotensin ii	1 sarcosine 8 isoleucine angiotensin ii
C0000107	sar iso ang	1-sarcosine-8-isoleucine angiotensin ii
C0000107	sar ile angiotensin 02 01 08	1 sarcosine 8 isoleucine angiotensin ii
C0000107	sarcosineisoleucineangiotensin 02 01 08	angiotensin ii, 1-sar-8-ile
C0000107	1-(n-methylglycine)-8-l-isoleucine-angiotensin ii	angiotensin ii, 1-sarcosine-8-isoleucine
C0000107	sar ile angiotensin 02 01 08	angiotensin ii, 1-sarcosine-8-isoleucine
C0000107	sar ile angiotensin 02 01 08	1-sarcosine-8-isoleucine angiotensin ii
C0000107	1-sar-8-ile angiotensin ii	angiotensin ii, 1-(n-methylglycine)-8-l-isoleucine-
C0000107	sar ile angiotensin 02 01 08	sarcosineisoleucineangiotensin 02 01 08
C0000107	sar ile angiotensin 02 01 08	1-(n-methylglycine)-8-l-isoleucine-angiotensin ii
C0000107	angiotensin ii, 1-(n-methylglycine)-8-l-isoleucine-	angiotensin ii, 1-sar-8-ile
C0000107	1 sarcosine 8 isoleucine angiotensin ii	angiotensin ii, 1-sar-8-ile
C0000107	1-sarcosine-8-isoleucine angiotensin ii	angiotensin ii, 1-(n-methylglycine)-8-l-isoleucine-
C0000107	angiotensin ii, 1-(n-methylglycine)-8-l-isoleucine-	sarile
C0000107	sar iso ang	1 sarcosine 8 isoleucine angiotensin ii
C0000107	sar iso ang	angiotensin ii, 1-sarcosine-8-isoleucine
C0000107	sarcosineisoleucineangiotensin 02 01 08	1 sarcosine 8 isoleucine angiotensin ii
C0000107	sarcosineisoleucineangiotensin 02 01 08	1-(n-methylglycine)-8-l-isoleucine-angiotensin ii
C0000107	1-(n-methylglycine)-8-l-isoleucine-angiotensin ii	1 sarcosine 8 isoleucine angiotensin ii
C0000107	sarile	angiotensin ii, 1-sarcosine-8-isoleucine
C0000107	1 sar 8 ile angiotensin ii	angiotensin ii, 1-sarcosine-8-isoleucine
C0000107	angiotensin ii, 1-sar-8-ile	angiotensin ii, 1-sarcosine-8-isoleucine
C0000107	1-sarcosine-8-isoleucine angiotensin ii	1 sarcosine 8 isoleucine angiotensin ii
C0000107	angiotensin ii, 1-(n-methylglycine)-8-l-isoleucine-	angiotensin ii, 1-sarcosine-8-isoleucine
C0000107	sarcosineisoleucineangiotensin 02 01 08	1-sar-8-ile angiotensin ii
C0000107	1 sar 8 ile angiotensin ii	angiotensin ii, 1-sar-8-ile
